gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G05030	13.5714	6.44769	6.59066	6.81289
AT1G05040	0.0553232	0	1.62497	0.0079488
AT1G05055	5.98406	9.69665	9.62612	9.25356
AT1G05060	12.2401	15.2325	11.5877	14.186
AT1G05061	0.284734	0.652193	0.389157	0.203621
AT1G05065	4.69371	3.34877	4.2247	1.48411
AT1G05070	15.1223	14.5124	22.9037	22.5461
AT1G05120	9.54941	19.6709	16.3992	13.4549
AT1G05135	64.1917	13.0383	4.68473	2.03803
-	0.665151	0.535668	0	0.100428
AT1G05150	18.3093	23.0875	25.101	17.3199
AT1G05160	6.68874	6.22048	8.52461	16.0802
